,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
rounds,synthetic,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,synthetic,36.0,80.66666666666667,1.3309502512973848,79.0,79.0,79.75,80.5,82.0,83.0,83.0,0.197,-1.236
x402Total,synthetic,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,synthetic,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,x402,36.0,658476721.5,800787778.1807185,202608221.0,202608221.0,202608223.75,202608226.5,658476724.25,2026082212.0,2026082212.0,1.206,-0.582
role_pnl,x402,36.0,-0.2995236613591026,11.447338822724886,-25.68840190183612,-20.99182028193476,-6.046568321649405,0.47978399191128585,9.09791504901941,14.484646995048,17.183630384528875,-0.5,-0.495
wallet_sum_pnl,x402,36.0,-2.1371793224034263e-15,8.507002748344552e-15,-1.554312234475219e-14,-1.554312234475219e-14,-7.271960811294775e-15,-9.992007221626405e-16,4.10782519111308e-15,1.1102230246251564e-14,1.1102230246251564e-14,-0.234,-1.241
realizedAbs,x402,36.0,75.31671989860722,17.247585891388994,43.10537629146089,43.10537629146089,65.55000193585802,78.60209969243496,91.31159148385963,96.05171336389353,96.05171336389353,-0.636,-0.892
minSpot,x402,36.0,0.04816840896832488,0.0021934056306244865,0.0441564561309812,0.0441564561309812,0.04704861579330315,0.047750120838983695,0.049292749974102046,0.0533013131464171,0.0533013131464171,0.631,1.061
maxSpot,x402,36.0,0.08293578211591474,0.002906676394593232,0.0793128882742557,0.0793128882742557,0.08039675471765227,0.08247757194103125,0.08513173287817355,0.0888062194718701,0.0888062194718701,0.571,-0.727
minCurve,x402,36.0,0.04483333333333334,0.0007559289460184551,0.0435,0.0435,0.0445,0.045,0.0455,0.046,0.046,-0.496,-0.531
maxCurve,x402,36.0,0.10004166666666667,0.003360218955450882,0.0955,0.0955,0.09725,0.09975,0.10175000000000001,0.107,0.107,0.474,-0.459
rounds,x402,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,x402,36.0,80.66666666666667,1.3309502512973848,79.0,79.0,79.75,80.5,82.0,83.0,83.0,0.197,-1.236
x402Total,x402,36.0,345.9917541178686,38.20099954002372,273.19623567480767,273.19623567480767,315.6351646086859,354.6629789363576,373.9988923163213,395.9253342837595,395.9253342837595,-0.584,-0.906
deniedWorkers,x402,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
