,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
maxSpot,synthetic,36.0,0.08340838430276047,0.003935805769170865,0.0773047185154098,0.0773047185154098,0.0799977161579305,0.08252973169075645,0.08665145683958088,0.089532531053221,0.089532531053221,0.119,-1.359
minCurve,synthetic,36.0,0.04447916666666666,0.0007638600283148372,0.043,0.043,0.044,0.0445,0.0445,0.046,0.046,0.408,0.581
maxCurve,synthetic,36.0,0.09937499999999999,0.004141040241981992,0.0915,0.0915,0.096375,0.099,0.10212500000000001,0.106,0.106,-0.022,-0.648
rounds,synthetic,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,synthetic,36.0,79.66666666666667,1.820517979665599,76.0,76.0,78.75,80.0,81.0,82.0,82.0,-0.645,-0.451
x402Total,synthetic,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,synthetic,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,x402,36.0,658479484.0,800791137.7167199,202609071.0,202609071.0,202609073.75,202609076.5,658479486.75,2026090712.0,2026090712.0,1.206,-0.582
role_pnl,x402,36.0,-0.4551310375525452,13.61746401510734,-30.988778153138718,-23.51673279031082,-5.454502128188233,2.0811778292518253,9.024999262342014,16.012970664352572,19.96319075366459,-0.596,-0.577
wallet_sum_pnl,x402,36.0,-4.498716214366519e-15,1.8705027473206783e-14,-2.7894353493707055e-14,-2.7894353493707055e-14,-1.7985612998927536e-14,-1.0574874309554616e-14,4.218847493575595e-15,3.8635761256955454e-14,3.8635761256955454e-14,0.963,0.248
realizedAbs,x402,36.0,79.32713845021763,22.548690377903352,46.47703759599972,46.47703759599972,62.618827047791896,69.54047998952937,95.80413195783558,123.17787717893924,123.17787717893924,0.496,-0.862
minSpot,x402,36.0,0.047905164196705895,0.0016437001806796968,0.0453122398266467,0.0453122398266467,0.047099402977748506,0.04749305770221455,0.04901410703197955,0.0505072740518174,0.0505072740518174,0.377,-0.914
maxSpot,x402,36.0,0.08340838430276047,0.003935805769170865,0.0773047185154098,0.0773047185154098,0.0799977161579305,0.08252973169075645,0.08665145683958088,0.089532531053221,0.089532531053221,0.119,-1.359
minCurve,x402,36.0,0.04447916666666666,0.0007638600283148372,0.043,0.043,0.044,0.0445,0.0445,0.046,0.046,0.408,0.581
maxCurve,x402,36.0,0.09937499999999999,0.004141040241981992,0.0915,0.0915,0.096375,0.099,0.10212500000000001,0.106,0.106,-0.022,-0.648
rounds,x402,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,x402,36.0,79.66666666666667,1.820517979665599,76.0,76.0,78.75,80.0,81.0,82.0,82.0,-0.645,-0.451
x402Total,x402,36.0,323.0988003781718,28.384763016560502,270.9323385033914,270.9323385033914,309.8547024283322,329.8727247970988,340.2459147310706,369.9544840115142,369.9544840115142,-0.429,-0.52
deniedWorkers,x402,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
